KB손해보험,KB손해보험,OK금융그룹,OK금융그룹,VS,대한항공,대한항공,삼성화재,삼성화재,시즌,우리카드,우리카드,한국전력,한국전력,현대캐피탈,현대캐피탈
Vs 상대,시즌평균,Vs 상대,시즌평균,구분,Vs 상대,시즌평균,Vs 상대,시즌평균,,Vs 상대,시즌평균,Vs 상대,시즌평균,Vs 상대,시즌평균
,,,,공격,,,52.79%,53.71%,014,,,,,52.65%,51.71%
,,,,오픈공격,,,51.36%,50.54%,014,,,,,37.06%,41.87%
,,,,시간차공격,,,50.00%,56.00%,014,,,,,82.61%,67.26%
,,,,이동공격,,,100.00%,72.73%,014,,,,,,0.00%
,,,,후위공격,,,52.84%,56.02%,014,,,,,56.17%,54.39%
,,,,속공,,,55.81%,56.28%,014,,,,,59.32%,58.33%
,,,,퀵오픈,,,52.83%,55.45%,014,,,,,57.25%,55.71%
,,,,서브,,,0.58,0.95,014,,,,,1.00,1.14
,,,,블로킹,,,2.38,2.56,014,,,,,2.83,2.64
,,,,디그,,,9.33,8.62,014,,,,,8.50,9.22
,,,,세트,,,12.83,11.88,014,,,,,12.92,12.16
,,,,리시브,,,9.21,8.05,014,,,,,10.63,7.75
,,,,벌칙,,,0.00,0.00,014,,,,,0.00,0.06
,,,,범실,,,25.83,24.25,014,,,,,25.17,23.53
,,,,득점,,,86.33,91.33,014,,,86.00,84.94,,
,,,,공격,,,52.14%,53.71%,014,,,50.67%,46.97%,,
,,,,오픈공격,,,49.12%,50.54%,014,,,43.09%,42.50%,,
,,,,시간차공격,,,45.00%,56.00%,014,,,45.45%,48.84%,,
,,,,이동공격,,,33.33%,72.73%,014,,,,100.00%,,
,,,,후위공격,,,57.49%,56.02%,014,,,55.30%,49.44%,,
,,,,속공,,,51.85%,56.28%,014,,,45.45%,44.95%,,
,,,,퀵오픈,,,52.27%,55.45%,014,,,62.41%,56.58%,,
,,,,서브,,,0.83,0.95,014,,,0.87,1.13,,
,,,,블로킹,,,2.48,2.56,014,,,2.09,2.12,,
,,,,디그,,,9.35,8.62,014,,,9.22,9.90,,
,,,,세트,,,12.39,11.88,014,,,12.91,11.72,,
,,,,리시브,,,10.43,8.05,014,,,9.74,8.03,,
,,,,벌칙,,,0.00,0.00,014,,,0.00,0.00,,
,,,,범실,,,24.17,24.25,014,,,22.83,22.22,,
,,80.67,85.25,득점,,,89.83,91.33,014,,,,,,
,,47.21%,49.27%,공격,,,56.84%,53.71%,014,,,,,,
,,42.94%,42.45%,오픈공격,,,53.00%,50.54%,014,,,,,,
,,61.90%,59.70%,시간차공격,,,66.67%,56.00%,014,,,,,,
,,,44.44%,이동공격,,,0.00%,72.73%,014,,,,,,
,,44.16%,51.02%,후위공격,,,58.22%,56.02%,014,,,,,,
,,46.91%,51.75%,속공,,,61.73%,56.28%,014,,,,,,
,,53.16%,52.72%,퀵오픈,,,59.68%,55.45%,014,,,,,,
,,1.22,1.29,서브,,,1.30,0.95,014,,,,,,
,,1.91,2.06,블로킹,,,2.65,2.56,014,,,,,,
,,8.35,8.58,디그,,,8.22,8.62,014,,,,,,
,,11.43,11.78,세트,,,11.83,11.88,014,,,,,,
,,9.35,8.48,리시브,,,7.52,8.05,014,,,,,,
,,0.00,0.00,벌칙,,,0.00,0.00,014,,,,,,
,,25.50,27.92,범실,,,22.17,24.25,014,,,,,,
,,,,득점,,,101.83,91.33,014,99.50,88.08,,,,
,,,,공격,,,54.95%,53.71%,014,52.46%,52.31%,,,,
,,,,오픈공격,,,53.64%,50.54%,014,41.03%,45.49%,,,,
,,,,시간차공격,,,52.94%,56.00%,014,58.06%,58.77%,,,,
,,,,이동공격,,,100.00%,72.73%,014,0.00%,50.00%,,,,
,,,,후위공격,,,55.49%,56.02%,014,62.22%,57.74%,,,,
,,,,속공,,,56.84%,56.28%,014,57.41%,54.96%,,,,
,,,,퀵오픈,,,55.56%,55.45%,014,57.14%,57.33%,,,,
,,,,서브,,,1.25,0.95,014,1.46,1.34,,,,
,,,,블로킹,,,2.50,2.56,014,2.04,1.90,,,,
,,,,디그,,,7.79,8.62,014,8.61,9.35,,,,
,,,,세트,,,11.68,11.88,014,12.14,12.50,,,,
,,,,리시브,,,8.18,8.05,014,8.54,7.16,,,,
,,,,벌칙,,,0.00,0.00,014,0.00,0.03,,,,
,,,,범실,,,24.50,24.25,014,25.17,24.28,,,,
87.00,90.94,,,득점,90.83,90.58,,,014,,,,,,
49.67%,50.01%,,,공격,51.97%,51.08%,,,014,,,,,,
43.49%,41.90%,,,오픈공격,43.35%,41.07%,,,014,,,,,,
47.37%,66.33%,,,시간차공격,52.94%,58.70%,,,014,,,,,,
,0.00%,,,이동공격,,0.00%,,,014,,,,,,
49.65%,51.61%,,,후위공격,55.15%,50.98%,,,014,,,,,,
65.00%,57.88%,,,속공,56.52%,59.24%,,,014,,,,,,
56.20%,56.66%,,,퀵오픈,56.44%,56.98%,,,014,,,,,,
1.13,1.75,,,서브,1.46,1.50,,,014,,,,,,
2.29,2.21,,,블로킹,2.13,2.16,,,014,,,,,,
9.08,8.97,,,디그,9.17,9.58,,,014,,,,,,
12.08,11.80,,,세트,11.79,12.34,,,014,,,,,,
5.38,6.71,,,리시브,5.96,7.84,,,014,,,,,,
0.00,0.06,,,벌칙,0.00,0.00,,,014,,,,,,
28.17,27.17,,,범실,22.67,26.25,,,014,,,,,,
90.17,90.94,,,득점,,,92.83,91.33,014,,,,,,
51.96%,50.01%,,,공격,,,55.86%,53.71%,014,,,,,,
41.27%,41.90%,,,오픈공격,,,49.79%,50.54%,014,,,,,,
66.67%,66.33%,,,시간차공격,,,45.45%,56.00%,014,,,,,,
,0.00%,,,이동공격,,,100.00%,72.73%,014,,,,,,
50.35%,51.61%,,,후위공격,,,62.96%,56.02%,014,,,,,,
58.73%,57.88%,,,속공,,,57.50%,56.28%,014,,,,,,
62.50%,56.66%,,,퀵오픈,,,59.65%,55.45%,014,,,,,,
1.76,1.75,,,서브,,,0.92,0.95,014,,,,,,
1.84,2.21,,,블로킹,,,2.84,2.56,014,,,,,,
7.36,8.97,,,디그,,,7.44,8.62,014,,,,,,
11.12,11.80,,,세트,,,11.64,11.88,014,,,,,,
7.48,6.71,,,리시브,,,5.76,8.05,014,,,,,,
0.00,0.06,,,벌칙,,,0.00,0.00,014,,,,,,
25.50,27.17,,,범실,,,26.67,24.25,014,,,,,,
83.67,90.94,,,득점,,,,,014,,,,,79.33,86.67
49.14%,50.01%,,,공격,,,,,014,,,,,48.85%,51.71%
42.18%,41.90%,,,오픈공격,,,,,014,,,,,40.51%,41.87%
66.67%,66.33%,,,시간차공격,,,,,014,,,,,50.00%,67.26%
,0.00%,,,이동공격,,,,,014,,,,,,0.00%
50.00%,51.61%,,,후위공격,,,,,014,,,,,58.56%,54.39%
61.90%,57.88%,,,속공,,,,,014,,,,,51.65%,58.33%
53.54%,56.66%,,,퀵오픈,,,,,014,,,,,51.49%,55.71%
2.50,1.75,,,서브,,,,,014,,,,,1.18,1.14
2.14,2.21,,,블로킹,,,,,014,,,,,2.18,2.64
9.18,8.97,,,디그,,,,,014,,,,,9.41,9.22
11.14,11.80,,,세트,,,,,014,,,,,11.14,12.16
6.09,6.71,,,리시브,,,,,014,,,,,5.18,7.75
0.17,0.06,,,벌칙,,,,,014,,,,,0.17,0.06
24.67,27.17,,,범실,,,,,014,,,,,24.00,23.53
95.00,90.94,,,득점,,,,,014,,,93.17,84.94,,
48.95%,50.01%,,,공격,,,,,014,,,47.99%,46.97%,,
40.64%,41.90%,,,오픈공격,,,,,014,,,44.35%,42.50%,,
78.57%,66.33%,,,시간차공격,,,,,014,,,25.00%,48.84%,,
,0.00%,,,이동공격,,,,,014,,,100.00%,100.00%,,
52.47%,51.61%,,,후위공격,,,,,014,,,54.17%,49.44%,,
56.00%,57.88%,,,속공,,,,,014,,,50.70%,44.95%,,
55.35%,56.66%,,,퀵오픈,,,,,014,,,51.43%,56.58%,,
1.72,1.75,,,서브,,,,,014,,,1.36,1.13,,
2.28,2.21,,,블로킹,,,,,014,,,2.32,2.12,,
10.20,8.97,,,디그,,,,,014,,,10.28,9.90,,
12.48,11.80,,,세트,,,,,014,,,11.92,11.72,,
6.92,6.71,,,리시브,,,,,014,,,6.60,8.03,,
0.17,0.06,,,벌칙,,,,,014,,,0.00,0.00,,
26.00,27.17,,,범실,,,,,014,,,23.83,22.22,,
102.00,90.94,98.33,85.25,득점,,,,,014,,,,,,
50.71%,50.01%,51.24%,49.27%,공격,,,,,014,,,,,,
39.92%,41.90%,41.57%,42.45%,오픈공격,,,,,014,,,,,,
69.57%,66.33%,63.16%,59.70%,시간차공격,,,,,014,,,,,,
0.00%,0.00%,,44.44%,이동공격,,,,,014,,,,,,
54.23%,51.61%,55.36%,51.02%,후위공격,,,,,014,,,,,,
53.85%,57.88%,51.69%,51.75%,속공,,,,,014,,,,,,
59.76%,56.66%,55.30%,52.72%,퀵오픈,,,,,014,,,,,,
1.85,1.75,1.41,1.29,서브,,,,,014,,,,,,
2.37,2.21,2.04,2.06,블로킹,,,,,014,,,,,,
8.63,8.97,8.19,8.58,디그,,,,,014,,,,,,
11.56,11.80,10.81,11.78,세트,,,,,014,,,,,,
6.74,6.71,6.67,8.48,리시브,,,,,014,,,,,,
0.00,0.06,0.00,0.00,벌칙,,,,,014,,,,,,
31.17,27.17,29.50,27.92,범실,,,,,014,,,,,,
87.83,90.94,,,득점,,,,,014,88.83,88.08,,,,
49.74%,50.01%,,,공격,,,,,014,53.11%,52.31%,,,,
44.08%,41.90%,,,오픈공격,,,,,014,46.67%,45.49%,,,,
71.43%,66.33%,,,시간차공격,,,,,014,36.36%,58.77%,,,,
,0.00%,,,이동공격,,,,,014,100.00%,50.00%,,,,
52.90%,51.61%,,,후위공격,,,,,014,57.63%,57.74%,,,,
52.24%,57.88%,,,속공,,,,,014,53.33%,54.96%,,,,
50.72%,56.66%,,,퀵오픈,,,,,014,62.93%,57.33%,,,,
1.59,1.75,,,서브,,,,,014,1.64,1.34,,,,
2.36,2.21,,,블로킹,,,,,014,1.91,1.90,,,,
9.45,8.97,,,디그,,,,,014,9.27,9.35,,,,
12.45,11.80,,,세트,,,,,014,12.68,12.50,,,,
7.64,6.71,,,리시브,,,,,014,6.73,7.16,,,,
0.00,0.06,,,벌칙,,,,,014,0.00,0.03,,,,
27.50,27.17,,,범실,,,,,014,25.50,24.28,,,,
,,,,득점,88.67,90.58,,,014,,,,,88.17,86.67
,,,,공격,50.96%,51.08%,,,014,,,,,50.62%,51.71%
,,,,오픈공격,40.64%,41.07%,,,014,,,,,43.85%,41.87%
,,,,시간차공격,61.54%,58.70%,,,014,,,,,68.75%,67.26%
,,,,이동공격,,0.00%,,,014,,,,,,0.00%
,,,,후위공격,50.33%,50.98%,,,014,,,,,45.99%,54.39%
,,,,속공,60.92%,59.24%,,,014,,,,,60.44%,58.33%
,,,,퀵오픈,56.59%,56.98%,,,014,,,,,56.15%,55.71%
,,,,서브,1.35,1.50,,,014,,,,,0.96,1.14
,,,,블로킹,1.39,2.16,,,014,,,,,2.26,2.64
,,,,디그,10.83,9.58,,,014,,,,,9.39,9.22
,,,,세트,13.26,12.34,,,014,,,,,11.96,12.16
,,,,리시브,8.30,7.84,,,014,,,,,6.65,7.75
,,,,벌칙,0.00,0.00,,,014,,,,,0.00,0.06
,,,,범실,28.50,26.25,,,014,,,,,25.33,23.53
,,,,득점,,,92.17,91.33,014,,,,,94.17,86.67
,,,,공격,,,52.79%,53.71%,014,,,,,52.65%,51.71%
,,,,오픈공격,,,51.36%,50.54%,014,,,,,37.06%,41.87%
,,,,시간차공격,,,50.00%,56.00%,014,,,,,82.61%,67.26%
,,,,이동공격,,,100.00%,72.73%,014,,,,,,0.00%
,,,,후위공격,,,52.84%,56.02%,014,,,,,56.17%,54.39%
,,,,속공,,,55.81%,56.28%,014,,,,,59.32%,58.33%
,,,,퀵오픈,,,52.83%,55.45%,014,,,,,57.25%,55.71%
,,,,서브,,,0.58,0.95,014,,,,,1.00,1.14
,,,,블로킹,,,2.38,2.56,014,,,,,2.83,2.64
,,,,디그,,,9.33,8.62,014,,,,,8.50,9.22
,,,,세트,,,12.83,11.88,014,,,,,12.92,12.16
,,,,리시브,,,9.21,8.05,014,,,,,10.63,7.75
,,,,벌칙,,,0.00,0.00,014,,,,,0.00,0.06
,,,,범실,,,25.83,24.25,014,,,,,25.17,23.53
83.67,90.94,,,득점,,,,,014,,,,,79.33,86.67
49.14%,50.01%,,,공격,,,,,014,,,,,48.85%,51.71%
42.18%,41.90%,,,오픈공격,,,,,014,,,,,40.51%,41.87%
66.67%,66.33%,,,시간차공격,,,,,014,,,,,50.00%,67.26%
,0.00%,,,이동공격,,,,,014,,,,,,0.00%
50.00%,51.61%,,,후위공격,,,,,014,,,,,58.56%,54.39%
61.90%,57.88%,,,속공,,,,,014,,,,,51.65%,58.33%
53.54%,56.66%,,,퀵오픈,,,,,014,,,,,51.49%,55.71%
2.50,1.75,,,서브,,,,,014,,,,,1.18,1.14
2.14,2.21,,,블로킹,,,,,014,,,,,2.18,2.64
9.18,8.97,,,디그,,,,,014,,,,,9.41,9.22
11.14,11.80,,,세트,,,,,014,,,,,11.14,12.16
6.09,6.71,,,리시브,,,,,014,,,,,5.18,7.75
0.17,0.06,,,벌칙,,,,,014,,,,,0.17,0.06
24.67,27.17,,,범실,,,,,014,,,,,24.00,23.53
,,,,득점,,,,,014,,,66.17,84.94,73.83,86.67
,,,,공격,,,,,014,,,42.97%,46.97%,50.31%,51.71%
,,,,오픈공격,,,,,014,,,42.11%,42.50%,39.87%,41.87%
,,,,시간차공격,,,,,014,,,75.00%,48.84%,83.33%,67.26%
,,,,이동공격,,,,,014,,,,100.00%,,0.00%
,,,,후위공격,,,,,014,,,42.02%,49.44%,50.38%,54.39%
,,,,속공,,,,,014,,,37.29%,44.95%,59.46%,58.33%
,,,,퀵오픈,,,,,014,,,49.40%,56.58%,53.27%,55.71%
,,,,서브,,,,,014,,,1.00,1.13,1.11,1.14
,,,,블로킹,,,,,014,,,1.95,2.12,3.05,2.64
,,,,디그,,,,,014,,,10.42,9.90,11.00,9.22
,,,,세트,,,,,014,,,11.26,11.72,12.11,12.16
,,,,리시브,,,,,014,,,8.74,8.03,8.47,7.75
,,,,벌칙,,,,,014,,,0.00,0.00,0.00,0.06
,,,,범실,,,,,014,,,20.00,22.22,20.17,23.53
,,79.50,85.25,득점,,,,,014,,,,,90.50,86.67
,,46.68%,49.27%,공격,,,,,014,,,,,52.92%,51.71%
,,40.10%,42.45%,오픈공격,,,,,014,,,,,50.00%,41.87%
,,54.84%,59.70%,시간차공격,,,,,014,,,,,43.75%,67.26%
,,50.00%,44.44%,이동공격,,,,,014,,,,,,0.00%
,,47.02%,51.02%,후위공격,,,,,014,,,,,55.38%,54.39%
,,50.96%,51.75%,속공,,,,,014,,,,,54.43%,58.33%
,,51.40%,52.72%,퀵오픈,,,,,014,,,,,54.55%,55.71%
,,1.17,1.29,서브,,,,,014,,,,,1.43,1.14
,,1.78,2.06,블로킹,,,,,014,,,,,2.78,2.64
,,8.96,8.58,디그,,,,,014,,,,,8.35,9.22
,,11.57,11.78,세트,,,,,014,,,,,11.35,12.16
,,9.22,8.48,리시브,,,,,014,,,,,6.83,7.75
,,0.00,0.00,벌칙,,,,,014,,,,,0.00,0.06
,,29.00,27.92,범실,,,,,014,,,,,22.50,23.53
,,,,득점,,,,,014,85.83,88.08,,,94.00,86.67
,,,,공격,,,,,014,50.25%,52.31%,,,54.45%,51.71%
,,,,오픈공격,,,,,014,45.08%,45.49%,,,40.00%,41.87%
,,,,시간차공격,,,,,014,63.64%,58.77%,,,72.22%,67.26%
,,,,이동공격,,,,,014,,50.00%,,,0.00%,0.00%
,,,,후위공격,,,,,014,58.62%,57.74%,,,59.86%,54.39%
,,,,속공,,,,,014,52.94%,54.96%,,,64.37%,58.33%
,,,,퀵오픈,,,,,014,50.68%,57.33%,,,59.59%,55.71%
,,,,서브,,,,,014,1.09,1.34,,,1.17,1.14
,,,,블로킹,,,,,014,1.78,1.90,,,2.78,2.64
,,,,디그,,,,,014,9.26,9.35,,,9.04,9.22
,,,,세트,,,,,014,12.70,12.50,,,13.39,12.16
,,,,리시브,,,,,014,8.30,7.16,,,8.65,7.75
,,,,벌칙,,,,,014,0.17,0.03,,,0.17,0.06
,,,,범실,,,,,014,25.67,24.28,,,24.00,23.53
,,,,득점,95.33,90.58,,,014,,,86.33,84.94,,
,,,,공격,51.39%,51.08%,,,014,,,42.41%,46.97%,,
,,,,오픈공격,40.54%,41.07%,,,014,,,37.84%,42.50%,,
,,,,시간차공격,54.55%,58.70%,,,014,,,60.00%,48.84%,,
,,,,이동공격,,0.00%,,,014,,,,100.00%,,
,,,,후위공격,53.76%,50.98%,,,014,,,43.35%,49.44%,,
,,,,속공,57.35%,59.24%,,,014,,,43.33%,44.95%,,
,,,,퀵오픈,57.00%,56.98%,,,014,,,55.32%,56.58%,,
,,,,서브,1.21,1.50,,,014,,,1.00,1.13,,
,,,,블로킹,2.79,2.16,,,014,,,1.42,2.12,,
,,,,디그,10.96,9.58,,,014,,,12.08,9.90,,
,,,,세트,13.08,12.34,,,014,,,11.50,11.72,,
,,,,리시브,8.63,7.84,,,014,,,7.42,8.03,,
,,,,벌칙,0.00,0.00,,,014,,,0.00,0.00,,
,,,,범실,29.67,26.25,,,014,,,23.83,22.22,,
,,,,득점,,,86.33,91.33,014,,,86.00,84.94,,
,,,,공격,,,52.14%,53.71%,014,,,50.67%,46.97%,,
,,,,오픈공격,,,49.12%,50.54%,014,,,43.09%,42.50%,,
,,,,시간차공격,,,45.00%,56.00%,014,,,45.45%,48.84%,,
,,,,이동공격,,,33.33%,72.73%,014,,,,100.00%,,
,,,,후위공격,,,57.49%,56.02%,014,,,55.30%,49.44%,,
,,,,속공,,,51.85%,56.28%,014,,,45.45%,44.95%,,
,,,,퀵오픈,,,52.27%,55.45%,014,,,62.41%,56.58%,,
,,,,서브,,,0.83,0.95,014,,,0.87,1.13,,
,,,,블로킹,,,2.48,2.56,014,,,2.09,2.12,,
,,,,디그,,,9.35,8.62,014,,,9.22,9.90,,
,,,,세트,,,12.39,11.88,014,,,12.91,11.72,,
,,,,리시브,,,10.43,8.05,014,,,9.74,8.03,,
,,,,벌칙,,,0.00,0.00,014,,,0.00,0.00,,
,,,,범실,,,24.17,24.25,014,,,22.83,22.22,,
95.00,90.94,,,득점,,,,,014,,,93.17,84.94,,
48.95%,50.01%,,,공격,,,,,014,,,47.99%,46.97%,,
40.64%,41.90%,,,오픈공격,,,,,014,,,44.35%,42.50%,,
78.57%,66.33%,,,시간차공격,,,,,014,,,25.00%,48.84%,,
,0.00%,,,이동공격,,,,,014,,,100.00%,100.00%,,
52.47%,51.61%,,,후위공격,,,,,014,,,54.17%,49.44%,,
56.00%,57.88%,,,속공,,,,,014,,,50.70%,44.95%,,
