경기 No.,경기일자,상대팀,세트스코어,득점,실점,경기시간,승패,시즌,홈팀
175,2022.01.31,삼성화재,0:3,72,82,1h 43m,lose,018,현대캐피탈
222,2022.03.17,삼성화재,3:2,115,109,2h 24m,win,018,현대캐피탈
7,2021.10.20,KB손해보험,2:3,106,111,2h 27m,lose,018,현대캐피탈
55,2021.11.17,KB손해보험,3:0,76,68,1h 30m,win,018,현대캐피탈
89,2021.12.07,KB손해보험,0:3,60,75,1h 24m,lose,018,현대캐피탈
145,2022.01.08,KB손해보험,1:3,82,97,1h 56m,lose,018,현대캐피탈
191,2022.02.09,KB손해보험,0:3,59,75,1h 26m,lose,018,현대캐피탈
215,2022.03.10,KB손해보험,1:3,86,103,2h 08m,lose,018,현대캐피탈
27,2021.10.31,한국전력,0:3,41,75,1h 13m,lose,018,현대캐피탈
83,2021.12.03,한국전력,2:3,110,108,2h 17m,lose,018,현대캐피탈
107,2021.12.17,한국전력,1:3,84,98,1h 58m,lose,018,현대캐피탈
137,2022.01.04,한국전력,3:2,109,106,2h 25m,win,018,현대캐피탈
211,2022.03.06,한국전력,2:3,105,108,2h 23m,lose,018,현대캐피탈
231,2022.03.24,한국전력,0:3,68,76,1h 35m,lose,018,현대캐피탈
3,2021.10.17,OK금융그룹,3:1,98,90,2h 05m,win,018,현대캐피탈
61,2021.11.20,OK금융그룹,2:3,97,105,2h 11m,lose,018,현대캐피탈
123,2021.12.26,OK금융그룹,3:0,75,54,1h 17m,win,018,현대캐피탈
149,2022.01.11,OK금융그룹,3:2,108,106,2h 23m,win,018,현대캐피탈
197,2022.02.13,OK금융그룹,0:3,70,79,1h 45m,lose,018,현대캐피탈
235,2022.03.28,OK금융그룹,3:1,94,80,1h 50m,win,018,현대캐피탈
15,2021.10.24,우리카드,3:1,98,95,2h 04m,win,018,현대캐피탈
71,2021.11.26,우리카드,3:2,106,107,2h 17m,win,018,현대캐피탈
101,2021.12.14,우리카드,1:3,91,101,2h 08m,lose,018,현대캐피탈
163,2022.01.19,우리카드,3:2,103,102,2h 20m,win,018,현대캐피탈
169,2022.01.28,우리카드,3:2,99,109,2h 16m,win,018,현대캐피탈
225,2022.03.20,우리카드,2:3,103,102,2h 17m,lose,018,현대캐피탈
39,2021.11.07,대한항공,3:1,95,80,1h 54m,win,018,한국전력
77,2021.11.30,대한항공,3:2,106,104,2h 17m,win,018,한국전력
119,2021.12.24,대한항공,1:3,72,97,1h 43m,lose,018,한국전력
153,2022.01.13,대한항공,1:3,79,93,1h 41m,lose,018,한국전력
214,2022.03.09,대한항공,2:3,108,114,2h 29m,lose,018,한국전력
224,2022.03.19,대한항공,3:1,91,89,1h 53m,win,018,한국전력
5,2021.10.19,삼성화재,3:0,75,54,1h 20m,win,018,한국전력
69,2021.11.25,삼성화재,0:3,53,75,1h 20m,lose,018,한국전력
99,2021.12.12,삼성화재,1:3,83,90,1h 49m,lose,018,한국전력
133,2022.01.01,삼성화재,3:1,92,72,1h 44m,win,018,한국전력
181,2022.02.03,삼성화재,1:3,79,91,1h 42m,lose,018,한국전력
217,2022.03.12,삼성화재,3:0,75,53,1h 22m,win,018,한국전력
13,2021.10.23,KB손해보험,3:1,93,90,2h 00m,win,018,한국전력
63,2021.11.21,KB손해보험,3:0,75,62,1h 29m,win,018,한국전력
125,2021.12.28,KB손해보험,1:3,98,104,2h 17m,lose,018,한국전력
159,2022.01.16,KB손해보험,3:2,112,109,2h 28m,win,018,한국전력
196,2022.02.12,KB손해보험,3:2,106,104,2h 13m,win,018,한국전력
237,2022.03.30,KB손해보험,3:1,100,99,2h 04m,win,018,한국전력
239,2022.04.03,KB손해보험,1:3,76,98,2h 00m,lose,018,한국전력
27,2021.10.31,현대캐피탈,3:0,75,41,1h 13m,win,018,한국전력
