한국도로공사,상대전적,KGC인삼공사,시즌,흥국생명,GS 칼텍스,IBK 기업은행,페퍼저축은행
,* 상대전적 : 61승 61패 * 시즌전적 : 0승 6패,,018,6위(10승 23패),3위(20승 11패),,
,2022년 03월 02일(수) 19시 / 인천계양  VS 구단 선택 흥국생명 IBK기업은행,,018,,,,
,* 상대전적 : 27승 46패 * 시즌전적 : 3승 3패,,018,6위(10승 23패),,5위(11승 21패),
,2021년 12월 29일(수) 19시 / 인천삼산월드  VS 구단 선택 흥국생명 페퍼저축은행,,018,,,,
,* 상대전적 : 4승 1패 * 시즌전적 : 4승 1패,,018,6위(10승 23패),,,7위(3승 28패)
,2022년 01월 20일(목) 19시 / 서울장충  VS 구단 선택 GS 칼텍스 한국도로공사,,018,,,,
2위(24승 8패),* 상대전적 : 58승 56패 * 시즌전적 : 2승 3패,,018,,3위(20승 11패),,
,2022년 02월 28일(월) 19시 / 서울장충  VS 구단 선택 GS 칼텍스 KGC인삼공사,,018,,,,
,* 상대전적 : 60승 57패 * 시즌전적 : 3승 2패,4위(15승 17패),018,,3위(20승 11패),,
,2022년 02월 01일(화) 16시 / 서울장충  VS 구단 선택 GS 칼텍스 흥국생명,,018,,,,
,* 상대전적 : 61승 61패 * 시즌전적 : 6승 0패,,018,6위(10승 23패),3위(20승 11패),,
,2021년 12월 15일(수) 19시 / 서울장충  VS 구단 선택 GS 칼텍스 IBK기업은행,,018,,,,
,* 상대전적 : 31승 42패 * 시즌전적 : 4승 1패,,018,,3위(20승 11패),5위(11승 21패),
,2022년 01월 09일(일) 16시 / 서울장충  VS 구단 선택 GS 칼텍스 페퍼저축은행,,018,,,,
,* 상대전적 : 5승 0패 * 시즌전적 : 5승 0패,,018,,3위(20승 11패),,7위(3승 28패)
,2022년 02월 02일(수) 16시 / 화성종합실내  VS 구단 선택 IBK기업은행 한국도로공사,,018,,,,
2위(24승 8패),* 상대전적 : 30승 40패 * 시즌전적 : 1승 4패,,018,,,5위(11승 21패),
,2022년 03월 20일(일) 16시 / 화성종합실내  VS 구단 선택 IBK기업은행 KGC인삼공사,,018,,,,
,* 상대전적 : 48승 21패 * 시즌전적 : 3승 3패,4위(15승 17패),018,,,5위(11승 21패),
,2022년 02월 26일(토) 16시 / 화성종합실내  VS 구단 선택 IBK기업은행 흥국생명,,018,,,,
,* 상대전적 : 46승 27패 * 시즌전적 : 3승 3패,,018,6위(10승 23패),,5위(11승 21패),
,2022년 02월 10일(목) 19시 / 화성종합실내  VS 구단 선택 IBK기업은행 GS 칼텍스,,018,,,,
,* 상대전적 : 42승 31패 * 시즌전적 : 1승 4패,,018,,3위(20승 11패),5위(11승 21패),
,2022년 02월 06일(일) 16시 / 화성종합실내  VS 구단 선택 IBK기업은행 페퍼저축은행,,018,,,,
,* 상대전적 : 3승 2패 * 시즌전적 : 3승 2패,,018,,,5위(11승 21패),7위(3승 28패)
,2022년 01월 05일(수) 19시 / 페퍼스타디움  VS 구단 선택 페퍼저축은행 한국도로공사,,018,,,,
2위(24승 8패),* 상대전적 : 0승 5패 * 시즌전적 : 0승 5패,,018,,,,7위(3승 28패)
,2022년 02월 03일(목) 19시01분 / 페퍼스타디움  VS 구단 선택 페퍼저축은행 KGC인삼공사,,018,,,,
,* 상대전적 : 0승 6패 * 시즌전적 : 0승 6패,4위(15승 17패),018,,,,7위(3승 28패)
,2022년 02월 11일(금) 19시 / 페퍼스타디움  VS 구단 선택 페퍼저축은행 흥국생명,,018,,,,
