경기 No.,경기일자,상대팀,세트스코어,득점,실점,경기시간,승패,시즌,홈팀
14,2020.10.25,IBK기업은행,3:2,101,95,2h 01m,win,17,GS 칼텍스
53,2020.11.21,IBK기업은행,3:0,79,66,1h 31m,win,17,GS 칼텍스
82,2020.12.11,IBK기업은행,1:3,93,101,2h 06m,lose,17,GS 칼텍스
110,2020.12.30,IBK기업은행,3:1,98,70,1h 47m,win,17,GS 칼텍스
149,2021.01.29,IBK기업은행,2:3,97,108,2h 14m,lose,17,GS 칼텍스
194,2021.03.12,IBK기업은행,3:0,75,42,1h 10m,win,17,GS 칼텍스
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,17,GS 칼텍스
36,2020.11.10,한국도로공사,3:1,97,84,1h 58m,win,17,IBK 기업은행
67,2020.12.01,한국도로공사,2:3,108,107,2h 15m,lose,17,IBK 기업은행
99,2020.12.23,한국도로공사,3:2,94,104,2h 11m,win,17,IBK 기업은행
142,2021.01.23,한국도로공사,0:3,53,75,1h 25m,lose,17,IBK 기업은행
163,2021.02.07,한국도로공사,2:3,98,110,2h 12m,lose,17,IBK 기업은행
186,2021.02.27,한국도로공사,2:3,104,108,2h 12m,lose,17,IBK 기업은행
4,2020.10.18,KGC인삼공사,3:1,97,87,2h 05m,win,17,IBK 기업은행
41,2020.11.13,KGC인삼공사,3:2,108,91,2h 06m,win,17,IBK 기업은행
76,2020.12.06,KGC인삼공사,0:3,65,77,1h 27m,lose,17,IBK 기업은행
121,2021.01.09,KGC인삼공사,0:3,61,75,1h 20m,lose,17,IBK 기업은행
156,2021.02.03,KGC인삼공사,3:0,75,56,1h 22m,win,17,IBK 기업은행
191,2021.03.07,KGC인삼공사,3:2,112,107,2h 23m,win,17,IBK 기업은행
32,2020.11.07,흥국생명,0:3,57,75,1h 23m,lose,17,IBK 기업은행
61,2020.11.27,흥국생명,0:3,52,75,1h 18m,lose,17,IBK 기업은행
92,2020.12.18,흥국생명,0:3,60,75,1h 17m,lose,17,IBK 기업은행
134,2021.01.17,흥국생명,0:3,53,75,1h 17m,lose,17,IBK 기업은행
174,2021.02.16,흥국생명,3:0,75,41,1h 11m,win,17,IBK 기업은행
184,2021.02.24,흥국생명,3:0,75,68,1h 24m,win,17,IBK 기업은행
218,2021.03.20,흥국생명,1:3,84,98,1h 52m,lose,17,IBK 기업은행
220,2021.03.22,흥국생명,3:1,97,70,1h 42m,win,17,IBK 기업은행
222,2021.03.24,흥국생명,0:3,44,75,1h 12m,lose,17,IBK 기업은행
14,2020.10.25,GS 칼텍스,2:3,95,101,2h 01m,lose,17,IBK 기업은행
53,2020.11.21,GS 칼텍스,0:3,66,79,1h 31m,lose,17,IBK 기업은행
82,2020.12.11,GS 칼텍스,3:1,101,93,2h 06m,win,17,IBK 기업은행
110,2020.12.30,GS 칼텍스,1:3,70,98,1h 47m,lose,17,IBK 기업은행
149,2021.01.29,GS 칼텍스,3:2,108,97,2h 14m,win,17,IBK 기업은행
194,2021.03.12,GS 칼텍스,0:3,42,75,1h 10m,lose,17,IBK 기업은행
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,17,IBK 기업은행
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,17,페퍼저축은행
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,17,페퍼저축은행
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,17,페퍼저축은행
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,17,페퍼저축은행
시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,시즌 상대전적이 없습니다.,17,페퍼저축은행
14,2021.10.23,KGC인삼공사,0:3,71,86,1h 42m,lose,18,한국도로공사
64,2021.11.21,KGC인삼공사,3:0,75,52,1h 24m,win,18,한국도로공사
126,2021.12.28,KGC인삼공사,3:1,98,91,2h 03m,win,18,한국도로공사
160,2022.01.16,KGC인삼공사,3:0,81,63,1h 30m,win,18,한국도로공사
198,2022.02.21,KGC인삼공사,3:1,99,94,2h 09m,win,18,한국도로공사
38,2021.11.06,흥국생명,3:1,104,86,2h 06m,win,18,한국도로공사
46,2021.11.11,흥국생명,3:1,97,83,1h 47m,win,18,한국도로공사
96,2021.12.10,흥국생명,3:1,94,80,1h 53m,win,18,한국도로공사
152,2022.01.12,흥국생명,3:1,97,76,1h 47m,win,18,한국도로공사
186,2022.02.05,흥국생명,3:1,97,76,1h 51m,win,18,한국도로공사
210,2022.03.05,흥국생명,3:0,75,61,1h 27m,win,18,한국도로공사
32,2021.11.03,GS 칼텍스,0:3,62,75,1h 30m,lose,18,한국도로공사
68,2021.11.24,GS 칼텍스,3:2,111,103,2h 26m,win,18,한국도로공사
